Grupão;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria
Flora;Angiospermas;Salicaceae;Abatia angeliana;Vazio;VU
Fauna;Aves;Cracidae;Aburria jacutinga;Jacutinga;EN
Flora;Angiospermas;Malvaceae;Abutilon anodoides;Vazio;CR
Flora;Angiospermas;Malvaceae;Abutilon nigricans;Vazio;CR
Flora;Angiospermas;Santalaceae;Acanthosyris paulo-alvinii;Vazio;VU
Flora;Angiospermas;Myrtaceae;Accara elegans;Vazio;EN
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis cornicauda;Libélula;VU
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis mourei;Libélula;EN
Fauna;Invertebrados Terrestres;Hypogastruridae;Acherontides eleonorae;Colêmbolo;EN
Flora;Angiospermas;Plantaginaceae;Achetaria caparaoense;Vazio;CR
Flora;Angiospermas;Plantaginaceae;Achetaria latifolia;Vazio;CR
Fauna;Peixes Marinhos;Achiridae;Achirus mucuri;Solha;VU
Flora;Angiospermas;Orchidaceae;Acianthera adiri;Vazio;CR
Flora;Angiospermas;Orchidaceae;Acianthera heringeri;Vazio;CR
Flora;Angiospermas;Orchidaceae;Acianthera langeana;Vazio;EN
Flora;Angiospermas;Orchidaceae;Acianthera papillosa;Vazio;VU
Flora;Angiospermas;Asteraceae;Acmella pusilla;Vazio;EN
Flora;Angiospermas;Asteraceae;Acritopappus catolesensis;Vazio;VU
Flora;Angiospermas;Asteraceae;Acritopappus connatifolius;Vazio;EN
Flora;Angiospermas;Asteraceae;Acritopappus irwinii;Vazio;VU
Flora;Angiospermas;Asteraceae;Acritopappus pintoi;Vazio;CR
Fauna;Aves;Furnariidae;Acrobatornis fonsecai;Acrobata;VU
Flora;Angiospermas;Arecaceae;Acrocomia emensis;Vazio;VU
Flora;Angiospermas;Eriocaulaceae;Actinocephalus cipoensis;Vazio;CR
Flora;Angiospermas;Eriocaulaceae;Actinocephalus claussenianus;Vazio;VU
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote quadra;Borboleta-palha;VU
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote zikani;Borboleta;CR
Flora;Angiospermas;Orchidaceae;Adamantinia miltonioides;Vazio;CR
Fauna;Invertebrados Terrestres;Baetidae;Adebrotus lugoi;Siriruia;VU
Fauna;Anfíbios;Eleutherodactylidae;Adelophryne maranguapensis;Desconhecido;VU
Flora;Angiospermas;Bignoniaceae;Adenocalymma dichilum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma fruticosum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma magnoalatum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma ubatubense;Vazio;CR
Flora;Angiospermas;Euphorbiaceae;Adenophaedra cearensis;Vazio;CR
Flora;Pteridófitas;Pteridaceae;Adiantum diphyllum;Vazio;CR
Flora;Pteridófitas;Pteridaceae;Adiantum discolor;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum mynsseniae;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum papillosum;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum tetragonum;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea alopecurus;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea amicorum;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea apocalyptica;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea azurea;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea bambusoides;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea cariocae;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea castanea;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea depressa;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea echinata;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea fosteriana;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea gustavoi;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea kertesziae;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea kleinii;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea macrochlamys;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea marginalis;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea muricata;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea mutica;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea orlandiana;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea sphaerocephala;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea triangularis;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea vanhoutteana;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea werdermannii;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea winkleri;Vazio;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla brevipalma;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla camargoi;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla cavernicola;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla franca;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla grisella;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inconspicua;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inermis;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla itacolomiensis;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla lata;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leachi;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptochela;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptodactyla;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla ligulata;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla manuinflata;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla microphthalma;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla oblata;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla obstipa;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla perobae;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla plana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla pomerana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla renana;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla rossiana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinipalma;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinosa;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla strinatii;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla violacea;Egla;EN
Flora;Angiospermas;Fabaceae;Aeschynomene fructipendula;Vazio;EN
Flora;Angiospermas;Fabaceae;Aeschynomene laca-buendiana;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis bandeirensis;Vazio;CR
Flora;Angiospermas;Orobanchaceae;Agalinis brachyphylla;Vazio;VU
Flora;Angiospermas;Orobanchaceae;Agalinis itambensis;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis nana;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis ramulifera;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis schwackeana;Vazio;CR
Fauna;Anfíbios;Hylidae;Agalychnis granulosa;Desconhecido;VU
Flora;Angiospermas;Asteraceae;Agrianthus almasensis;Vazio;EN
Flora;Angiospermas;Asteraceae;Agrianthus giuliettiae;Vazio;EN
Flora;Angiospermas;Poaceae;Agrostis lenis;Vazio;VU
